奶茶	奶绿	182674
豆腐花	红豆沙,绿豆汤,绿豆沙,杏仁腐,桂花粥	44304,39072,23707,3256,1110
窑鸡	木子鸡	88
石锅鱼	沸腾鱼,泡菜鱼,纸包鱼,乌江鱼,梭边鱼	3446,2659,2636,2413,1851
凤爪	鸡爪,泡爪,凤翅,泡椒鸡爪,凤筋	222004,3277,3197,2305,172
花蛤	花甲,蛤蜊,花螺,花蟹,文蛤	166156,19955,15582,13478,9138
红烧鱼	鱼香茄子,糍粑鱼,糖醋鱼,盐鱼,瓦块鱼	19844,6403,4311,2380,2049
春卷	花卷,香芋卷	60241,3172
纸包鱼	烤鱼,草鱼,鲶鱼,石锅鱼,乌江鱼	123392,66503,11356,2796,2413
地三鲜	老爆三,溜三样,素三样,熘三样,地鲜片	913,719,549,209,26
蒸蛋	水蛋,炖蛋,蒸水蛋,蒸鸡蛋,芙蓉蛋	8191,6286,3710,3201,2054
猪肝	猪肚,猪舌	172234,32852
烤翅	鸡翅,翅根,全翅,烤鸡肉,烤堡	490792,112069,45126,22603,11763
鸭脖子	鸭翅,鸭头,鸭锁骨,鸭爪,鸭心	170454,78287,66438,60139,32719
鸡杂	田鸡,仔鸡,鸭杂	45673,22990,15810
土豆片	豆腐,豆角,土豆丝,豆芽,豆皮	1563620,415752,231974,181404,180583
燃面	凉面,热干面,杂酱面,担担面,豌杂面	86532,40519,30580,18706,5770
鸭架	鸭脖,鸭翅,鸭头,鸭锁骨,鸭爪	199105,170454,78287,66438,60139
鸭爪	鸡爪,鸭脖,鸭翅,鸭掌,鸭头	222004,199105,170454,128542,78287
肉串	骨肉相连,牙签肉,纯肉肠,大肉肠,牛肉排	52536,8068,6802,2555,2168
香酥鸡	烤鸡,脆鸡,卤鸡,原味鸡,蜜汁鸡	359840,113851,78678,74662,33060
羊杂	羊肉,羊肚,羊肉汤,羊肝,羊血	451940,40347,13766,12440,10755
全鸡	鸡腿,鸡排,鸡翅,炸鸡,香鸡	1024004,915116,490792,352513,308065
啤酒鸭	土匪鸭	1637
海南鸡	沙姜鸡,油皇鸡,鸡油饭	2006,1337,393
百味鸡	口水鸡	26283
糍粑	粑粑,麻糍,糖油粑粑,叶儿粑	10399,2013,394,347
梭子蟹	蛏子,螃蟹,花蟹,海瓜子,膏蟹	47211,18818,13478,6670,6337
鸡米花	鸡排,鸡翅,鸡柳,鸡肉卷,盐酥鸡	915116,490792,284346,129771,31642
烤饼	烧饼,大饼,油饼,饼子,玉米饼	85499,31848,27162,13386,7198
章鱼	鳗鱼,八爪鱼,鱼饼,炸鱼,鱼柳	90315,48460,32333,19834,16617
油焖大虾	小龙虾,基围虾,虾尾,皮皮虾,香辣虾	218450,54943,35743,31838,23844
板栗	板粟	1543
猪排	鸡排,牛排,猪扒,腿排,肉排	915116,415818,77092,73819,38878
把子肉	肉夹馍,四喜丸子,甏肉,饼卷肉	121139,2859,682,646
掌中宝	翅中,中翅,鸡中翅,鸡翅中,鸡中宝	134064,71694,42153,41433,434
粉干	汤粉,粉面,细粉,干面,粗粉	132601,103145,68282,52387,15029
大肠	肥肠,小肠,猪肠,生肠,大排	323427,39043,11624,6424,6
凉拌	小葱拌豆腐	475
红糖姜茶	姜汤	19346
柠檬茶	柠檬汁,蜜茶,柚子茶,冬瓜茶	117054,115381,95828,22278
牛腩	牛肚,牛杂,牛骨,牛蹄,牛尾	216315,148381,19289,18916,13054
凉糕	凉粉	95554
鸽子汤	排骨汤,乌鸡汤,老鸭汤,骨头汤,猪肺汤	132417,78140,68416,12526,4239
青菜	咸菜,针菜,血菜	114341,1329,179
拌粉	牛肉粉,凉拌面,卷粉,捞粉,三鲜粉	69291,19897,14121,9314,7341
果茶	蜜茶,柚子茶,清茶	115381,95828,95482
南瓜粥	米粥,黑米粥,玉米粥,麦粥,燕麦粥	124249,41047,38331,22193,21060
筋饼	油饼,饼子,春饼,烙饼,酱香饼	27162,13386,4594,3842,3355
鸡蛋羹	水煮蛋	2251
酱板鸭	鸭架,盐水鸭,手撕鸭,馋嘴鸭,甜皮鸭	29039,12162,4598,1287,1261
牛杂面	牛肉粉,卤面,菜面,素面,三鲜面	69291,57648,54180,10316,7966
荞麦面	面条,细面,玉米面,切面,菠菜面	112956,26613,26142,12251,11554
火锅粉	土豆粉,宽粉,川粉,粉带,芋头粉	127115,59960,5987,4170,2620
纸包鸡	手撕鸡,酱油鸡,沙姜鸡,油皇鸡,清蒸鸡	38912,4284,2006,1337,1106
蟹钳	螃蟹,香辣蟹,蟹脚,醉蟹,河蟹	18818,16872,15245,7954,6090
筒骨粉	粉面,卤粉,素粉,瘦肉粉,三鲜粉	103145,19139,18327,7474,7341
鸡块	鸡腿,鸡排,鸡翅,鸡柳,鸡丁	1024004,915116,490792,284346,199640
椰子鸡	猪肚鸡,土鸡煲,药膳鸡,浸鸡	11487,2131,1059,362
肉松	松饼	55710
朝鲜面	肉蓉面,粗粮面,小面	2571,2552,19
面筋	豆筋,烤面	18708,9072
老友粉	米粉,河粉,汤粉,粉面,螺蛳粉	470562,220141,132601,103145,89126
乳鸽	鸽子	65651
酱牛肉	猪头肉,牛腱,牛肝,酱黄瓜,酱萝卜	65479,35947,10178,7024,5340
鲫鱼汤	蛋汤,豆腐汤,片汤,冬瓜汤,三鲜汤	101494,48890,41184,11362,9534
奶昔	牛奶冰,奶蜜,雪昔	27352,4833,4116
基围虾	大虾,虾尾,皮皮虾,海虾,明虾	149219,35743,31838,26405,23263
烤肠	香肠,烤肉饭,纯肉肠,炸肠,大肉肠	620492,139141,6802,3911,2555
欧包	吐司面包,排包,奶酪包,奶油包	16827,16458,4291,1572
粿条	白粿,粿汤,粿汁	3318,1747,1327
红薯	红苋菜	12781
猪排饭	鸡排,鸡饭,牛肉饭,烤肉饭,鸡排饭	915116,305189,139893,139141,135196
鸭子	鸭膀	1259
菠萝包	排包,奶酪包,奶油包,猪仔包,榴莲包	16458,4291,1572,1002,363
黑米粥	八宝粥,米酒,玉米粥,南瓜粥,紫米粥	180091,60299,38331,26002,24213
肥牛饭	鸡饭,牛肉饭,鸡排饭,排骨饭,卤肉饭	305189,139893,135196,125241,124370
五花肉	羊肉,肉卷,小肉,肉丸子,护心肉	451940,294919,27509,24376,16500
大虾	龙虾,小龙虾,基围虾,虾尾,皮皮虾	437837,218450,54943,35743,31838
糖果	棉花糖	66805
筋头巴脑	大骨头,嘎巴,窝骨筋	8590,1277,98
带鱼	黄鱼,鲫鱼,黑鱼,鱼块,小黄鱼	108422,98502,70156,68202,67265
油饼	烧饼,大饼,饼子,烤饼,油卷	85499,31848,13386,8507,4375
咸骨粥	肉粥,瘦肉粥,菜粥,鸡粥,白粥	130992,86580,37807,30668,20837
烤全鸡	鸡排,鸡翅,烤翅,鸡肉卷,童子鸡	915116,490792,181418,129771,52682
菠萝油	萝卜糕	1961
鲜芋	芋圆	181011
扇贝	青口贝,鸟贝,黄贝,夏夷贝,刀贝	5951,1739,523,223,100
八爪鱼	章鱼,鱼饼,多春鱼,章鱼足,冰鱼	78629,32333,13574,3857,1633
蜜汁鸡	香酥鸡,卤鸡,原味鸡,酱鸡,盐鸡	85413,78678,74662,28356,12659
菠萝饭	糯米饭,海鲜饭,鸡油饭	9469,5632,393
藤椒鱼	酸菜鱼,水煮鱼,酸汤鱼,酸辣鱼,沸腾鱼	187196,75006,9618,6974,3446
紫薯	番薯	36813
小笼包子	煎包,肉包子,素包,水煎包,笋包	21136,15136,9072,5471,1074
锅烙	锅贴	44769
竹筒饭	煲仔饭,蒸饭,烩饭,荷叶饭,焖饭	285119,26056,20852,17628,14314
鸡脚	鸡爪,鸡翅尖,鸡尖,鸭脚,鸡肾	222004,58943,35663,28257,13314
酸辣	酸菜,辣子,酸萝卜	939527,171435,30104
糯米	黑米	133872
虾球	虾卷,虾排,虾串	25641,19600,2534
酥肉	肉丸子,肉圆子	24376,2133
鸭锁骨	鸭脖,鸭翅,鸭掌,鸭舌,鸭爪	199105,170454,128542,80846,60139
清汤面	卤面,菜面,米面,牛杂面,素面	57648,54180,49736,15658,10316
卤虾	小龙虾,虾尾,皮皮虾,中虾,大龙虾	218450,35743,31838,12846,12174
炒米	炒粉,炒年糕,炒糕,炒花饭,炒桂粉	149594,66456,3071,889,127
芋头	山芋,槟榔芋,芋苗	14452,1534,642
捞面	拉面,汤面,干面,乌冬面,云吞面	344370,247544,52387,49018,25032
小串	羊肉串,牛肉串,小肉串,生串,猪小腰	52237,26436,5066,685,223
牛肉干	豆干,牛肉粒,肉条	237330,70008,49191
骨头汤	鸡汤,排骨汤,乌鸡汤,老鸭汤,豆汤	220989,132417,78140,68416,59880
冰棒	冰淇淋,冰激凌,棒冰,冰激淋,冰淇凌	521531,52755,46657,7541,3957
扁食	扁肉	5755
下酒菜	大拌菜,老虎菜,蘸酱菜,丰收菜,沾酱菜	12043,3886,1002,288,200
水煮肉	水煮鱼,孜然肉,木须肉,辣子肉,水煮鸡	75006,25585,18102,6213,5687
空心菜	生菜,包菜,娃娃菜,油麦菜,苋菜	122719,110962,109314,62387,43231
外婆菜	盐菜,坛子菜,腊菜	15008,2175,244
番茄	茄汁	88185
盖码饭	煲仔饭,木桶饭,锅巴饭,瓦煲饭,吊锅饭	285119,111736,11036,4352,488
溜肉段	木须肉,锅包肉,京酱肉丝,苜蓿肉,溜豆腐	18102,7297,7125,2824,2319
狮子头	茄子饭,肉丸子,四喜丸子	34394,24376,2859
酸梅汤	酸梅汁	25626
芋儿鸡	辣子鸡,跳跳鸡,仔姜鸡,盆盆鸡,小煎鸡	112727,212,208,94,0
姜母鸭	烧鸭,白切鸭,咸水鸭,沙姜鸡,桂花鸭	148684,6158,2837,2006,1865
玉米烙	玉米粒,玉米饼,金玉满堂,小米糕	65398,7198,3322,0
面食	擀面皮,肉蓉面,糊涂面,油丝面	20288,2571,237,153
南瓜饼	地瓜,猪肉饼,玉米饼,紫薯饼,绿茶饼	97609,7327,7198,1698,1478
饸饹面	削面,刀削面,凉拌面,油泼面,扯面	168025,163091,19897,11522,8947
炖菜	烩菜,杀猪菜,烩酸菜,大锅菜,炖吊子	18401,3418,3127,1023,370
鸡蛋糕	炸糕	2004
盐水鸭	鸭头,酱鸭,板鸭,酱板鸭,香酥鸭	78287,50966,23560,9214,5541
韭菜	芹菜,韭黄,地皮菜	324656,41562,3743
鸡胸	鸭胸,烤鸡肉	23302,22603
清蒸鱼	鱼头,鲫鱼,红烧鱼,鲢鱼,昂刺鱼	107904,98502,28581,26762,17940
捞饭	泡饭,烩饭,焖饭,腊味饭,竹筒饭	30070,20852,14314,8624,5844
参鸡汤	菌菇汤,牛尾汤,四物汤	3691,1148,271
铁板饭	炒饭,盖饭,盖浇饭,煲仔饭,焗饭	875812,745755,683053,285119,116208
烩菜	炖菜,杀猪菜,烩酸菜,大锅菜	4178,3418,3127,1023
焖饭	米饭,煲仔饭,焗饭,扒饭,焖面	800333,285119,116208,82240,54055
鸡煲	烧鸡,焖鸡,田鸡,仔鸡,蒸鸡	277967,165172,45673,22990,18121
绿豆糕	松糕,红豆饼,桂花糕	2638,2362,1996
牛河	河粉,斋河	220141,417
麻辣粉	酸辣粉	165759
炸鸡块	鸡排,鸡扒,鸡腿肉,盐酥鸡,鸡腿排	915116,109408,48182,31642,27116
腌面	腌粉,掩面	1764,31
牛肉饼	卤肉,葱油饼,牛肉包,猪肉饼,玉米饼	280103,8595,8286,7327,7198
酸汤鱼	酸菜鱼,水煮鱼,乌鱼,藤椒鱼,滑鱼	187196,75006,10031,5302,4291
杏仁腐	豆腐花	11687
螺蛳	田螺,炒螺,螺狮,丁螺,石螺	51626,11416,4479,3238,1680
花卷	春卷,银丝卷	41392,1208
大龙虾	小龙虾,大虾,大闸蟹,基围虾,虾尾	218450,149219,81389,54943,35743
抻面	炸酱面,凉拌面,油泼面,扯面,饸饹面	80841,19897,11522,8947,7484
牛丼	牛肉饭,牛腩饭,肥牛饭	139893,41968,33788
流沙包	菜包,肉包,小笼包,豆沙包,奶黄包	120434,104550,48594,28271,24248
三杯鸡	鸡饭,鸡扒,鸡腿饭,鸡肉饭,香菇滑鸡	305189,109408,81192,48800,42954
羊杂面	牛杂面,羊肉汤,油泼面,羊肉粉,羊杂汤	15658,13766,11522,10732,8314
鲫鱼	黄鱼,鱼头,带鱼,黑鱼,草鱼	108422,107904,98137,70156,66503
鸭翅	鸭脖,鸭掌,翅尖,鸭舌,鸭锁骨	199105,128542,95348,80846,66438
兔头	辣鸭头,兔丁,兔腿,手撕兔	9387,6354,4106,688
海鲜饭	焗饭,鸡肉饭,蛋包饭,鸡扒饭,肥牛饭	116208,48800,46663,36372,33788
钉螺	田螺,花螺,香螺,海螺丝,丁螺	51626,15582,13427,8113,3238
老鸭粉	牛肉粉,鸭面,三鲜粉,鸭粉丝,杂酱粉	69291,10675,7341,5815,3802
甜汤	米汤,银耳汤,红豆汤,莲子汤,红枣汤	15626,10061,6033,3506,3483
丸子汤	鸡蛋汤,蛋花汤,粉丝汤,酸辣汤,羊肉汤	55706,53646,51118,17247,13766
肉蟹	螃蟹,香辣蟹,蟹脚,蟹煲,花蟹	18818,16872,15245,13854,13478
西兰花	菜花,西生菜	95267,4477
面粉	菜面,米面,线面,阳春面,手打面	54180,49736,7155,4868,1089
麻食	麻辣粉,麻什	7079,2251
苦瓜	丝瓜,凉瓜,葫芦瓜	91535,30367,1773
蒸饭	煲仔饭,叉烧饭,荷叶饭,焖饭,白饭	285119,39174,17628,14314,8800
盖浇面	盖饭,盖浇饭,盖面,盖浇粉	745755,683053,46974,328
牛蛙面	肉面,牛三宝,菌菇面,辣酱面,仔排面	714585,3410,1950,1297,711
东坡肉	红烧肉,鱼香肉丝,扣肉,梅菜扣肉	240994,90141,83190,39680
火龙果	鲜果切	18101
三黄鸡	草鸡,母鸡,鸡翅中,老母鸡,鸡翅根	60044,51445,41433,41304,41289
酸辣拌	麻辣拌,辣糊糊,辣焙子	30400,837,219
红豆	绿豆,蜜豆	339972,34986
炸肉	肉排,煎肉,滋味肉,炸茄盒,炸鲜磨	38878,14138,918,716,250
养生粥	米粥,瘦肉粥,南瓜粥,麦粥,白粥	124249,86580,26002,22193,20837
酱大骨	酱骨,大骨头,酱骨头,酱脊骨,酱骨架	10567,8590,2680,1661,1325
地瓜	南瓜饼	24649
肉包	鲜肉,菜包,肉饼,肉丁,小笼包	535343,120434,103476,53662,48594
沸腾鱼	酸菜鱼,水煮鱼,黑鱼,乌鱼,酸汤鱼	187196,75006,70156,10031,9618
虾滑	虾饺,青虾,鱼滑,北极虾	29017,16447,6524,1962
酿皮	凉皮,面皮,擀面皮,米皮,热米皮	165465,50733,20288,19253,760
丸子	海鲜丸	1964
炒冰	冰沙,沙冰,牛奶冰,刨冰,绵绵冰	135464,109619,27352,24154,18847
双拼饭	盖饭,拌饭,卤肉饭,桶饭,焗饭	745755,432950,124370,116384,116208
老鸭汤	鸡汤,排骨汤,乌鸡汤,鸽子汤,骨头汤	220989,132417,78140,29609,12526
棒冰	冰棒,冰糕	20898,13299
香肠	火腿肠,烤肠,腊肠,肉肠,烧肠	361834,219509,146589,136467,9743
盒子	千层盒,木糠盒,雪胖子	18270,1642,860
酸汤	酸菜,红汤	939527,42031
鲍鱼	鳕鱼,鱼片,墨鱼,鱼肉,鲳鱼	172704,158877,128691,71852,44651
大锅菜	烩菜,炖菜,杀猪菜,烩酸菜,一锅出	18401,4178,3418,3127,2706
卤牛肉	牛肚,卤鸭,卤鸭翅,卤耳尖	216315,123821,17721,402
西多士	厚多士	1371
三及第	及第汤,三及弟,牛三星	5985,669,555
筒骨	骨汤,龙骨,大骨,筒子骨,棒子骨	265313,70249,64266,31502,2201
草莓	香草	648950
捆粄	捆粿	397
西红柿	西葫芦,洋柿子	56005,135
酸菜面	排骨面,杂酱面,卤肉面,豌杂面,大肉面	91944,30580,14855,5770,3934
蛏子	梭子蟹,黄蚬子,海瓜子,黄蛏	24704,7129,6670,139
香香鸡	烤鸡,蜜汁鸡,酱鸡,酱香鸭,柠檬鸡	359840,33060,28356,20726,7099
羊腰子	红腰,羊蛋,牛腰子,羊球,羊筋	7344,4323,1295,896,877
炸鸡翅	鸡排,翅根,全翅,盐酥鸡,全鸡	915116,112069,45126,31642,29202
饸烙面	削面,饸饹,油泼面,扯面,饸饹面	168025,16152,11522,8947,7484
包饭	饭团,咖喱饭,卷饭,饭卷,紫菜饭	135085,30649,16064,3679,1599
姜茶	姜母茶,姜奶,姜撞奶	7148,5724,3666
毛肚	千层肚,兔肚	10062,1088
榴莲酥	酥皮,蛋黄酥,叉烧酥,榴莲角,榴莲包	31592,28607,714,662,363
甜水面	杂酱面,担担面,燃面,豌杂面,钟水饺	30580,18706,7074,5770,2020
鸽子	筒子骨,乳鸽	31502,21873
冰棍	冰淇淋,棒冰,冰棒,冰糕,冰激淋	521531,46657,20898,13299,7541
牛肉丸	鱼丸,贡丸,牛丸,牛筋丸,蟹肉棒	242046,56577,49625,40722,16635
鱼香茄子	鱼香肉丝,红烧鱼,辣子鸡丁,辣子肉丁,茄角之恋	90141,28581,26300,804,436
芝士条	薯条,虾条	325909,113324
日本豆腐	豆芽,土豆片,千页豆腐,老豆腐,血豆腐	181404,137739,37371,37365,8459
土豆饼	蛋饼,土豆泥,菜饼,牛肉饼,南瓜饼	45275,39413,30328,26358,24649
粉面	米粉,汤面,河粉,汤粉,米面	470562,247544,220141,132601,49736
腊肉	肉丝,肉片,回锅肉,黄牛肉,腌肉	1189845,524436,236937,25559,3380
白吉馍	夹馍,肉夹馍,菜夹馍,肉加馍,卷馍	142509,121139,2285,2093,1273
咸饭	汤饭,芥菜饭,芋头饭	122328,859,491
羊腿	羊排,羊蝎子,羊蹄,烤羊肉,羊腩	81331,22181,15368,10592,2402
鸡骨架	鸡胗,锁骨,鸡翅尖,鸡心,鸡架	111062,105245,58943,56695,29158
牛肉羹	肉汤,肉燕,瘦肉羹	185457,9569,1252
糖醋鱼	黄鱼,鲫鱼,带鱼,红烧鱼,杂鱼	108422,98502,98137,28581,11996
手工面	干面,米面,细面,菠菜面,素面	52387,49736,26613,11554,10316
鱼丸	肉丸,鱼豆腐,牛肉丸,贡丸,鱼卷	306998,196860,139724,56577,50866
杀猪菜	烩菜,炖菜,烩酸菜,大锅菜	18401,4178,3127,1023
宽粉	土豆粉,红薯粉,川粉,粉带,芋头粉	127115,60354,5987,4170,2620
鲜奶	奶冻	35255
素菜	素什锦	14474
牛扒	牛排,牛柳	415818,112948
咸鸭蛋	皮蛋,咸蛋,松花蛋,茶叶蛋,茶蛋	169243,71174,19773,18365,13206
纯牛奶	酸牛奶,老酸奶	295917,32515
豆腐汤	蛋汤,鸡蛋汤,蛋花汤,片汤,肉片汤	101494,55706,53646,41184,24450
红豆沙	绿豆,绿豆沙,赤豆,豆腐花,赤豆糊	339972,23707,16920,11687,506
牛骨头	牛杂,牛蹄,大骨头,牛宝,羊骨	148381,18916,8590,7801,5669
手撕鸭	卤鸭,香辣鸭,酱鸭,酱香鸭,卤鸭翅	123821,55479,50966,20726,17721
辣白菜	泡菜,辣菜	201397,10220
牛肚	牛杂,牛百叶,卤牛肉,牛蹄,牛蹄筋	148381,34727,25458,18916,15760
鸭腿	鸭胗,鸭肉,鸭心,鸭脖子,桂花鸭	87689,54511,32719,4455,1865
扁肉	扁食,瘦肉丸,辣肉粉	11869,7012,89
虾仁	虾米	44158
橙汁	果汁,柠檬汁,芒果汁,梨汁,椰子汁	870409,117054,109175,107394,103380
猪手	猪蹄,猪脚,猪尾,手撕鸡,猪头骨	170085,162872,40452,38912,522
千层面	意面,意大利面,肉酱面,焗面,空心面	102691,61610,14994,5687,705
牛鞭	牛蹄,牛宝,羊鞭,牛滑,牛腰	18916,7801,5994,5000,4970
手枪腿	鸡腿,腿排,鸡腿排,炸鸡腿,手扒鸡	1024004,73819,27116,19921,14503
发糕	米糕,炸糕,黑米糕,小米糕	12086,2004,930,0
皮蛋	鸭蛋,咸鸭蛋,松花蛋,海蜇皮	110633,65900,19773,2814
腰花	花蛤,腰片,花壳	55507,9171,1037
羊腰	腰子,红腰,羊鞭,羊宝,羊蛋	19952,7344,5994,4553,4323
米粥	南瓜粥,麦粥,枣粥,红枣粥,绿豆粥	26002,22193,16440,13950,13751
生鱼片	鱼生	9200
莜面	荞面,白皮面	8047,537
蟹黄包	蟹棒,蟹排,蟹肉棒,水晶包,蟹味棒	37020,23493,16635,9162,7740
羊杂碎	羊肉汤,羊杂汤,羊汤,全羊,羊杂面	13766,8314,8097,5359,3271
饼干	脆饼,薄饼,面包干	58461,53944,15622
松饼	肉松,肉松卷,松糕,红豆饼	245271,11672,2638,2362
老豆腐	豆芽,腐竹,油豆腐,豆腐皮,黄豆芽	181404,175834,97195,55779,46151
烙饼	油饼,饼子,葱花饼,单饼,发面饼	27162,13386,2506,2480,2307
鸭腿饭	烧鸭,鸡腿饭,牛腩饭,叉烧饭,猪脚饭	148684,81192,41968,39174,31973
果切	果盘	36724
烤兔	烤鸭,北京烤鸭,兔腿,烤蹄,手撕兔	118625,14387,4106,1667,688
酸粉	米粉,河粉,粉面,螺蛳粉,卤粉	470562,220141,103145,89126,19139
白米粥	瘦肉粥,南瓜粥,麦粥,白粥,绿豆粥	86580,26002,22193,20837,13751
奶黄包	肉包,小笼包,豆沙包,煎包,叉烧包	104550,48594,28271,21136,19787
绿豆沙	红豆沙,绿豆汤,豆腐花,赤豆糊	44304,39072,11687,506
海螺	海胆	10483
海螺丝	花螺,香螺,钉螺,海瓜子,海白虾	15582,13427,11379,6670,2826
鸡皮	鸡心,鸡脆骨,鸡全翅,鸡头,鸡脖子	56695,22243,17360,12799,4068
夹饼	夹馍,烧饼,蛋饼,炒饼,卷饼	142509,85499,45275,42811,40125
套饭	米饭,盖浇饭,煲仔饭,木桶饭,荷叶饭	800333,683053,285119,111736,17628
烤羊肉串	羊排,肉筋,烤肉串,羊筋,生串	81331,13303,4713,877,685
豆沙包	菜包,肉包,小笼包,奶黄包,叉烧包	120434,104550,48594,24248,19787
米糕	米饺,麻糕,玉米饼,发糕,马拉糕	11838,8156,7198,6060,2654
荷叶鸡	手撕鸡,葱油鸡,酱油鸡,油皇鸡,土窑鸡	38912,5633,4284,1337,421
冰糕	冰淇淋,雪糕,棒冰,方糕,冰激淋	521531,379065,46657,8617,7541
猪脏粉	粉干,粗粉,煮粉,冬粉,鸭肉粉	48055,15029,5914,2550,1689
小肉串	骨肉相连,羊肉串,牛肉串,火龙串,猪小腰	52536,52237,26436,1724,223
牛扒饭	牛肉饭,烤肉饭,鸡排饭,卤肉饭,鸡扒	139893,139141,135196,124370,109408
酸奶捞	水果捞,鲜果捞,奶油杯	101373,9661,2642
猪耳朵	猪头肉,猪舌,猪尾巴,猪舌头,猪嘴	65479,32852,10366,6843,5258
冻柠茶	柠蜜,柠乐,柠七,洛神花茶,咸柠七	14508,13096,7150,5892,2289
腰子	羊腰,红腰,猪小腰	13523,7344,223
焖饼	炒饼,饼子,焖子,夹饼,烩饼	42811,13386,8532,7358,4984
脆鱼	鳕鱼,鱼片,烤鱼,鲍鱼,烧鱼	172704,158877,123392,66681,40819
三鲜面	菜面,米面,面疙瘩,牛杂面,素面	54180,49736,27774,15658,10316
鸭掌	鸭脖,鸭翅,鸭舌,鸭锁骨,鸭爪	199105,170454,80846,66438,60139
叉烧包	小笼包,烧麦,豆沙包,奶黄包,烧卖	48594,33796,28271,24248,19602
豆角	芸豆,黄豆粒,炒豆子	42618,152,75
葱花饼	油饼,饼子,葱油饼,烙饼,小花卷	27162,13386,8595,3842,3828
咖喱鸡	香菇滑鸡	42954
鹅肉	烧鹅,卤鹅,鹅掌,鹅杂,鹅头	44075,9355,8161,3233,2897
灌饼	手抓饼,卷饼,煎饼果子,菜煎饼,掉渣饼	171126,40125,25989,12070,2562
裤带面	削面,油泼面,扯面,荞面,饸饹面	168025,11522,8947,8047,7484
炖鸡	炖排骨	36186
面线	虾面,线面,煮面,瘦肉面,沙茶面	12898,7155,6863,3417,2659
寿喜锅	部队锅	492
绿豆饼	酥饼,绿豆糕,芝麻饼,香酥饼,豆蓉	67972,20015,6356,5326,2554
芒果冰	红豆冰,西瓜冰,芒果爽	18659,12377,3019
批萨	披萨,比萨,匹萨	556182,338257,5638
红辣椒	小米椒	0
飞饼	甩饼,抛饼	829,543
芋泥	香芋卷,炸芋,芋蓉	3172,1961,378
海带汤	蛋花汤,豆腐汤,紫菜汤,酸辣汤,丸子汤	53646,48890,25145,17247,14885
大排面	肉丝面,菜面,牛杂面,馄饨面,三鲜面	56865,54180,15658,8712,7966
老碗鱼	水煮鱼,滑鱼,沸腾鱼,豆花鱼,泡菜鱼	75006,4291,3446,2783,2659
花生米	老醋花生,花生果	8384,1617
蟹脚	螃蟹,香辣蟹,肉蟹,蟹钳,花蟹	18818,16872,14024,13487,13478
扣肉	肉饼,小炒肉,焖肉,粉蒸肉,东坡肉	103476,95328,30409,10938,8233
茶叶蛋	鸭蛋,咸鸭蛋,茶蛋,卤鸡蛋,水煮蛋	110633,65900,13206,12479,2251
坛肉	红焖肉,扒肉,汆白肉,川白肉,小碗肉	5766,3911,2312,861,585
腊肠	香肠,腊肉,鸭肠,粉肠,脆皮肠	620492,247334,101052,33719,23530
猪肘子	牛腱子,腱子肉,棒子骨,猪蹄膀,猪大排	18683,9302,2201,2170,0
金针菇	平菇,金针蘑	44206,11138
冬阴功汤	海鲜汤,鱼饼汤,部队汤,明火例汤	9428,552,158,26
鸭脑壳	鸭掌,辣鸭头,酱板鸭,馋嘴鸭,鸭膀	128542,9387,9214,1287,1259
烧腊饭	叉烧饭,猪脚饭,三宝饭,四宝饭,咸鸡饭	39174,31973,3531,2646,1674
生菜	娃娃菜,空心菜,油麦菜,油菜,鸡毛菜	109314,68843,62387,61617,16303
姜撞奶	姜茶,姜母茶,姜奶,雙皮奶	35626,7148,5724,152
丝瓜	苦瓜,葫芦瓜	121637,1773
泡菜饼	高菜,土豆饼,葱饼,紫菜饭	8463,5920,4473,1599
擂茶	杏仁茶	3284
鲈鱼	黄鱼,鲫鱼,带鱼,黑鱼,草鱼	108422,98502,98137,70156,66503
白灼虾	基围虾,香辣虾,油焖大虾,基尾虾,油爆虾	54943,23844,6485,4561,1355
南瓜	金瓜,葫芦瓜	17117,1773
排骨面	肉面,牛肉面,鸡面,牛腩面,酸菜面	714585,634624,116379,22463,21563
老婆饼	松饼,红豆饼,牛舌饼,太阳饼	55710,2362,1151,332
烤奶	奶绿,珍奶	182674,16574
宫爆鸡丁	辣子鸡,辣子鸡丁,辣子肉丁	112727,26300,804
长寿面	阳春面,玉带面,家常面	4868,2589,1205
剪刀面	削面,焖面,揪面,面叶,饸烙面	168025,54055,2498,1132,1112
酱鸭	卤鸭,香辣鸭,酱鸡,酱香鸭,卤鸭翅	123821,55479,28356,20726,17721
卷馍	夹馍,肉夹馍,白吉馍,菜夹馍,肉加馍	142509,121139,3545,2285,2093
炸糕	鸡蛋糕,发糕,黑米糕,油炸馍片	6818,6060,930,12
锅盖面	菜面,大肉面,干挑面,爆鱼面,笋面	54180,3934,2874,1731,1276
薄饼	酥饼,脆饼,小饼	67972,58461,52631
鲶鱼	鲫鱼,黑鱼,草鱼,鲈鱼,鲢鱼	98502,70156,66503,44766,26762
藤椒	黑胡椒	211170
